total_price,unit_price
76,11110
99,18680
171,10716
365,27252
420,21909
24,6316
55,7779
128,7256
260,17354
269,16925
230,24860
37,3855
268,21789
319,22694
130,19497
230,19527
83,11439
148.5,16397
388,17912
188,30318
185,15844
202,22306
252,28437
73,13264
116,18510
240,24743
355,18299
66,9274
440,33083
249,16808
209,22464
300,20409
67,9637
145,17219
128,12392
135,9619
160,14415
96,11751
105,11238
168,15145
298,23335
260,19848
178,13722
156,14496
70,8889
152,13779
145,11069
167,18439
340,22699
270,19771
105,9723
228,20145
95,8874
228,15890
74,6415
87,16416
152,20106
25,5734
81,9719
83,19838
92,8172
138,15337
71,8988
75,8188
234,18553
44,9778
389,18702
225,17352
245,19207
315,21429
228,21036
75.5,8467
420,13978
120,10027
85,13456
438,44167
155,15420
210,23462
256,21769
65,13579
500,53770
68,17374
445,34823
79,9029
78,10448
228,16461
163,12669
115,11470
260,20635
270,22450
246,17147
160,23540
292.8,30136
275,17890
155,16539
70,9434
56.8,9038
98.5,13134
800,26178
530,32161
279,30000
435,23016
58,6988
200,8692
166,8771
134,12031
76.8,7175
115,13471
93,11520
73,7134
62,8092
500,25895
460,23326
188,17028
270,20392
111,12160
2000,39632
115,16152
133,15545
372,33055
235,12807
163,29975
210,13773
110,14013
380,27157
140,16769
200,12991
125,12416
310,19127
142,13232
175,18068
132,12370
